id,class,min_x,min_y,max_x,max_y,counter
1,Smoke,112,218,241,377,11
1,Smoke,93,215,240,374,12
1,Smoke,95,212,231,370,16
1,Smoke,95,211,231,370,17
1,Smoke,94,211,231,371,18
1,Smoke,96,214,235,371,19
1,Smoke,93,213,236,371,20
1,Smoke,93,213,235,372,21
1,Smoke,91,213,236,372,22
1,Smoke,91,212,236,372,23
1,Smoke,90,213,236,373,24
1,Smoke,90,213,236,373,25
1,Smoke,90,214,234,373,26
1,Smoke,90,215,234,373,27
1,Smoke,82,216,234,374,28
1,Smoke,81,216,233,374,29
1,Smoke,82,216,233,374,30
1,Smoke,81,216,233,375,31
1,Smoke,60,214,235,389,73
1,Smoke,60,214,235,389,77
1,Smoke,60,214,235,390,78
1,Smoke,65,230,228,356,80
1,Smoke,54,217,228,363,81
1,Smoke,173,598,464,719,96
0,Fire,704,217,963,434,96
0,Fire,603,0,856,321,96
1,Smoke,176,598,465,719,97
0,Fire,603,0,856,321,97
1,Smoke,173,598,464,719,98
0,Fire,605,0,856,323,98
1,Smoke,97,598,464,719,99
0,Fire,605,0,856,326,99
1,Smoke,50,200,221,345,122
1,Smoke,50,208,218,343,123
0,Fire,0,157,166,336,149
0,Fire,38,164,164,326,153
0,Fire,38,159,164,326,154
0,Fire,36,153,165,326,155
0,Fire,37,152,164,325,156
0,Fire,36,151,163,325,157
0,Fire,37,152,163,324,158
0,Fire,37,148,167,323,160
0,Fire,0,76,197,344,161
0,Fire,0,76,166,345,162
0,Fire,0,75,167,313,163
0,Fire,0,74,167,307,164
0,Fire,0,72,167,312,165
0,Fire,0,74,165,307,166
0,Fire,0,74,168,308,167
0,Fire,0,76,165,307,168
0,Fire,0,73,166,308,169
0,Fire,0,75,164,307,170
0,Fire,0,0,200,353,171
0,Fire,0,66,197,358,172
0,Fire,0,66,198,360,173
0,Fire,0,66,198,360,174
0,Fire,0,70,196,360,175
0,Fire,0,0,196,363,177
1,Smoke,314,444,777,719,178
0,Fire,0,102,286,391,178
1,Smoke,305,443,811,719,179
0,Fire,0,99,286,384,179
1,Smoke,314,444,784,719,180
0,Fire,0,99,286,385,180
1,Smoke,344,459,657,605,181
0,Fire,0,160,236,376,181
1,Smoke,345,455,719,622,182
0,Fire,0,157,236,377,182
1,Smoke,345,457,700,622,183
0,Fire,0,156,244,379,183
1,Smoke,312,579,536,719,184
1,Smoke,333,448,703,640,184
0,Fire,0,153,265,383,184
1,Smoke,312,442,719,719,185
0,Fire,0,152,265,383,185
1,Smoke,312,442,705,719,186
0,Fire,0,153,265,383,186
1,Smoke,322,576,518,719,187
1,Smoke,331,445,647,576,187
0,Fire,0,126,221,382,187
1,Smoke,322,576,549,719,188
1,Smoke,317,444,652,576,188
0,Fire,0,126,221,381,188
1,Smoke,322,576,517,719,189
1,Smoke,318,446,641,576,189
0,Fire,0,126,223,380,189
1,Smoke,313,442,660,719,190
0,Fire,0,121,226,380,190
1,Smoke,312,442,760,719,191
0,Fire,0,118,226,381,191
0,Fire,33,127,140,342,192
0,Fire,28,123,188,377,193
0,Fire,28,123,188,378,194
0,Fire,33,128,167,376,195
0,Fire,36,152,164,374,196
0,Fire,35,154,177,361,205
0,Fire,35,153,177,361,206
0,Fire,423,212,605,383,211
0,Fire,418,206,600,382,212
0,Fire,285,239,405,393,213
0,Fire,420,203,633,382,213
0,Fire,285,193,632,396,214
1,Smoke,224,477,598,719,215
1,Smoke,224,480,598,719,216
1,Smoke,223,476,598,719,217
1,Smoke,138,473,598,719,218
1,Smoke,223,474,598,719,219
1,Smoke,224,474,598,719,220
1,Smoke,224,460,598,719,221
1,Smoke,222,480,598,719,222
1,Smoke,1042,269,1198,393,223
0,Fire,305,177,660,386,223
1,Smoke,1043,266,1203,393,224
0,Fire,299,175,660,386,224
1,Smoke,1040,266,1203,393,225
0,Fire,304,175,659,386,225
1,Smoke,318,564,462,719,226
1,Smoke,1035,265,1204,393,226
0,Fire,299,161,660,395,226
0,Fire,337,201,605,385,227
0,Fire,294,203,608,387,228
1,Smoke,339,502,522,623,229
1,Smoke,337,502,522,625,230
1,Smoke,298,498,527,634,231
0,Fire,0,124,393,424,231
1,Smoke,334,496,555,615,232
1,Smoke,323,496,555,619,233
1,Smoke,325,500,526,615,234
1,Smoke,339,498,517,609,235
1,Smoke,333,496,552,615,237
1,Smoke,281,465,784,698,238
0,Fire,0,114,606,422,238
1,Smoke,640,577,784,719,239
1,Smoke,279,465,640,656,239
0,Fire,0,114,606,422,239
1,Smoke,280,465,639,696,240
1,Smoke,282,465,641,656,241
1,Smoke,279,465,640,696,242
1,Smoke,277,462,640,697,243
1,Smoke,275,464,638,695,244
0,Fire,422,196,612,349,244
0,Fire,0,68,473,424,244
1,Smoke,283,468,581,564,245
1,Smoke,282,468,564,562,246
1,Smoke,282,467,564,581,247
1,Smoke,282,467,564,581,248
1,Smoke,282,467,564,581,249
1,Smoke,283,467,582,581,250
1,Smoke,282,467,617,581,251
0,Fire,439,201,598,322,251
1,Smoke,282,467,617,581,252
0,Fire,439,201,598,322,252
1,Smoke,282,467,617,581,253
0,Fire,439,201,598,322,253
1,Smoke,282,467,617,581,254
0,Fire,439,201,595,322,254
1,Smoke,282,467,617,581,255
0,Fire,439,201,595,322,255
1,Smoke,282,467,618,581,256
0,Fire,439,201,595,322,256
1,Smoke,282,467,618,581,257
0,Fire,439,201,595,322,257
1,Smoke,282,467,618,581,258
0,Fire,441,201,594,322,258
1,Smoke,282,467,618,581,259
0,Fire,441,186,594,321,259
1,Smoke,282,467,618,581,260
0,Fire,425,182,594,318,260
1,Smoke,282,467,618,581,261
0,Fire,422,178,594,322,261
1,Smoke,282,467,617,581,262
0,Fire,421,178,594,318,262
0,Fire,0,113,342,366,262
1,Smoke,43,201,213,354,264
0,Fire,302,291,546,402,273
0,Fire,0,161,207,337,273
0,Fire,301,226,614,402,274
0,Fire,293,225,617,403,275
0,Fire,294,227,574,399,276
0,Fire,294,227,574,399,277
0,Fire,0,160,212,341,277
0,Fire,294,228,574,399,278
0,Fire,0,161,212,341,278
0,Fire,293,227,612,401,280
0,Fire,0,159,213,341,280
0,Fire,291,223,614,400,281
0,Fire,0,158,215,343,281
0,Fire,283,216,614,400,282
0,Fire,0,158,218,343,282
0,Fire,382,220,563,396,283
0,Fire,0,157,215,323,283
0,Fire,383,222,605,396,284
0,Fire,0,157,216,324,284
0,Fire,277,205,605,396,285
0,Fire,0,146,215,324,285
0,Fire,277,205,605,396,286
0,Fire,0,146,215,323,286
0,Fire,277,210,601,396,287
0,Fire,0,134,216,325,287
