id,class,min_x,min_y,max_x,max_y,counter
0,Fire,704,412,835,583,2
0,Fire,701,381,820,591,3
0,Fire,691,381,820,592,35
0,Fire,664,382,816,588,36
0,Fire,698,409,816,589,37
0,Fire,702,408,812,584,38
0,Fire,986,57,1279,324,80
0,Fire,989,57,1279,324,81
0,Fire,991,56,1279,326,82
0,Fire,985,55,1279,335,83
0,Fire,994,55,1279,339,84
0,Fire,996,173,1279,344,85
0,Fire,998,58,1279,158,85
0,Fire,996,174,1279,344,86
0,Fire,999,60,1279,157,86
0,Fire,1000,175,1279,346,87
0,Fire,1003,64,1279,159,87
0,Fire,999,176,1279,348,88
0,Fire,1004,65,1279,161,88
0,Fire,1000,175,1279,359,89
0,Fire,1004,66,1279,167,89
0,Fire,994,67,1279,362,90
0,Fire,991,70,1279,363,91
0,Fire,990,72,1279,364,92
0,Fire,989,72,1279,364,93
0,Fire,985,72,1279,365,94
0,Fire,1032,238,1279,379,95
0,Fire,1024,86,1279,232,95
0,Fire,869,92,1279,382,97
0,Fire,1000,95,1279,384,98
0,Fire,848,191,966,355,99
0,Fire,1000,95,1279,385,99
0,Fire,850,173,962,355,100
0,Fire,999,95,1279,323,100
0,Fire,804,158,961,356,101
0,Fire,986,62,1279,399,101
0,Fire,702,145,982,358,102
0,Fire,991,63,1279,401,102
0,Fire,764,66,1279,402,103
0,Fire,758,123,990,363,104
0,Fire,944,72,1279,404,104
0,Fire,1126,119,1279,327,105
0,Fire,673,112,943,361,105
0,Fire,1128,119,1279,402,106
0,Fire,667,61,958,364,106
0,Fire,651,92,959,397,107
0,Fire,1010,275,1279,422,108
0,Fire,1136,122,1279,273,108
0,Fire,635,80,958,396,108
0,Fire,1014,266,1279,423,109
0,Fire,1136,126,1279,272,109
0,Fire,615,78,918,393,109
0,Fire,1015,277,1279,424,110
0,Fire,1135,129,1279,272,110
0,Fire,608,70,895,391,110
0,Fire,1016,130,1279,425,111
0,Fire,597,69,886,390,111
0,Fire,966,75,1279,433,112
0,Fire,574,68,918,387,112
0,Fire,962,75,1279,376,113
0,Fire,547,62,975,386,113
0,Fire,1011,119,1279,442,114
0,Fire,534,57,976,386,114
0,Fire,513,46,922,386,115
0,Fire,512,50,909,394,116
0,Fire,500,42,909,405,117
0,Fire,1041,273,1279,462,118
0,Fire,497,33,973,422,118
0,Fire,1038,271,1279,463,119
0,Fire,493,24,992,425,119
0,Fire,1020,142,1279,464,120
0,Fire,489,25,992,439,120
0,Fire,1020,145,1279,465,121
0,Fire,475,27,970,446,121
0,Fire,1039,209,1279,408,122
0,Fire,455,27,958,455,122
0,Fire,451,198,806,422,123
0,Fire,1022,152,1279,474,123
0,Fire,578,24,958,441,123
0,Fire,441,199,802,450,124
0,Fire,971,83,1279,477,124
0,Fire,572,17,959,440,124
0,Fire,419,156,911,490,125
0,Fire,1062,303,1279,417,126
0,Fire,419,152,861,486,126
0,Fire,1088,318,1279,499,127
0,Fire,418,255,861,510,127
0,Fire,1087,318,1279,501,128
0,Fire,417,250,859,511,128
0,Fire,1078,300,1279,503,129
0,Fire,420,249,858,516,129
0,Fire,1069,174,1279,504,130
0,Fire,419,135,842,517,130
0,Fire,412,212,846,517,131
0,Fire,1062,174,1279,509,131
0,Fire,1060,174,1279,513,132
0,Fire,405,136,857,518,132
0,Fire,331,137,816,522,133
0,Fire,1042,122,1279,520,133
0,Fire,984,145,1279,523,134
0,Fire,324,138,869,525,134
0,Fire,554,378,743,513,135
0,Fire,336,313,525,481,135
0,Fire,679,245,811,426,135
0,Fire,1079,341,1279,470,136
0,Fire,302,127,824,527,136
0,Fire,559,340,810,514,137
0,Fire,1085,197,1279,306,137
0,Fire,300,133,827,494,137
0,Fire,1081,340,1279,477,138
0,Fire,560,340,815,516,138
0,Fire,1084,197,1279,308,138
0,Fire,263,160,826,498,138
0,Fire,556,340,818,520,139
0,Fire,1079,338,1279,545,139
0,Fire,1085,197,1279,314,139
0,Fire,253,167,823,496,139
0,Fire,1061,198,1279,550,140
0,Fire,220,169,837,541,140
0,Fire,996,197,1279,557,141
0,Fire,217,172,838,541,141
0,Fire,987,173,1279,563,142
0,Fire,282,173,862,554,142
0,Fire,985,177,1279,566,143
0,Fire,349,174,826,542,143
0,Fire,985,179,1279,571,144
0,Fire,350,176,827,545,144
0,Fire,407,295,792,550,145
0,Fire,1108,470,1279,583,146
0,Fire,287,294,796,550,146
0,Fire,277,469,546,557,147
0,Fire,1097,388,1279,584,147
0,Fire,407,291,874,505,147
0,Fire,264,466,560,561,148
0,Fire,1086,379,1279,586,148
0,Fire,411,280,873,537,148
0,Fire,1096,235,1279,346,148
0,Fire,252,445,508,561,149
0,Fire,1098,395,1279,590,149
0,Fire,498,270,871,549,149
0,Fire,1096,235,1279,348,149
0,Fire,247,441,506,561,150
0,Fire,1097,380,1279,596,150
0,Fire,500,266,935,552,150
0,Fire,1095,235,1279,351,150
0,Fire,1098,380,1279,602,151
0,Fire,242,257,935,560,151
0,Fire,1095,235,1279,355,151
0,Fire,238,249,934,559,152
0,Fire,1086,235,1279,538,152
0,Fire,976,0,1279,102,152
0,Fire,1086,315,1279,536,153
0,Fire,236,239,935,560,153
0,Fire,975,0,1279,101,153
0,Fire,1086,388,1279,621,154
0,Fire,1096,236,1279,392,154
0,Fire,314,235,938,565,154
0,Fire,975,24,1279,117,154
0,Fire,484,334,773,553,155
0,Fire,1028,254,1279,331,155
0,Fire,996,0,1279,123,155
0,Fire,365,250,857,563,156
0,Fire,594,213,857,342,156
0,Fire,1059,0,1279,119,156
0,Fire,1092,421,1279,521,157
0,Fire,383,212,871,560,157
0,Fire,1062,0,1279,115,157
0,Fire,1092,421,1279,642,158
0,Fire,1082,231,1279,330,158
0,Fire,359,208,878,571,158
0,Fire,1063,0,1279,120,158
0,Fire,1095,421,1279,642,159
0,Fire,1076,232,1279,384,159
0,Fire,320,203,882,573,159
0,Fire,1063,0,1279,119,159
0,Fire,1099,421,1279,581,160
0,Fire,1075,240,1279,384,160
0,Fire,385,198,899,555,160
0,Fire,1063,0,1279,118,160
